lineage	SRR3131692	SRR3131694	SRR3131696	SRR3131698	SRR3131700	SRR3131702	SRR3131704	SRR3131706	SRR3131708	SRR3131710	SRR3131712	SRR3131714	SRR3131716	SRR3131718	SRR3131720	SRR3131722	SRR3131724	SRR3131726	SRR3131728	SRR3131730	SRR3131732	SRR3131734	SRR3131736	SRR3131738	SRR3131740	SRR3131742	SRR3131744	SRR3131746	SRR3131748	SRR3131750	SRR3131752	SRR3131754	SRR3131756	SRR3131758	SRR3131760	SRR3131762	SRR3131764	SRR3131766	SRR3131768	SRR3131770	SRR3131772	SRR3131774	SRR3131776	SRR3131778	SRR3131780	SRR3131782	SRR3131784	SRR3131786	SRR3131788	SRR3131790	SRR3131792	SRR3131794	SRR3131796	SRR3131798	SRR3131800	SRR3131802	SRR3131804	SRR3131806	SRR3131808	SRR3131810	SRR3131812	SRR3131814	SRR3131816	SRR3131818	SRR3131820	SRR3131822	SRR3131824	SRR3131826	SRR3131828	SRR3131830	SRR3131832	SRR3131834	SRR3131836	SRR3131838	SRR3131840	SRR3131842	SRR3131844	SRR3131846	SRR3131848	SRR3131850	SRR3131852	SRR3131854	SRR3131856	SRR3131858	SRR3131860	SRR3131862	SRR3131864	SRR3131866	SRR3131868	SRR3131870	SRR3131872	SRR3131874	SRR3131876	SRR3131878	SRR3131880	SRR3131882	SRR3131884	SRR3131886	SRR3131888	SRR3131890	SRR3131892	SRR3131894	SRR3131896	SRR3131899	SRR3131901	SRR3131903	SRR3131905	SRR3131907	SRR3131909	SRR3131911	SRR3131913	SRR3131915	SRR3131917	SRR3131919	SRR3131921	SRR3131923	SRR3131925	SRR3131927	SRR3131929	SRR3131931	SRR3131933	SRR3131935	SRR3131937	SRR3131939	SRR3131941	SRR3131943	SRR3131945	SRR3131949	SRR3131951	SRR3131953	SRR3131955	SRR3131957	SRR3131959	SRR3131961	SRR3131963	SRR3131965	SRR3131967	SRR3131969	SRR3131971	SRR3131973	SRR3131975	SRR3131977	SRR3131979	SRR3131981	SRR3131983	SRR3131985	SRR3131987	SRR3131989	SRR3131991	SRR3131993	SRR3131995	SRR3131997	SRR3131999	SRR3132001	SRR3132003	SRR3132005	SRR3132007	SRR3132009	SRR3132011	SRR3132013	SRR3132015	SRR3132017	SRR3132019	SRR3132021	SRR3132023	SRR3132025	SRR3132027	SRR3132029	SRR3132031	SRR3132033	SRR3132035	SRR3132037	SRR3132039	SRR3132041	SRR3132043	SRR3132045	SRR3132047	SRR3132049	SRR3132051	SRR3132053	SRR3132055	SRR3132057	SRR3132059	SRR3132061	SRR3132065	SRR3132067	SRR3132069	SRR3132071	SRR3132073	SRR3132075	SRR3132077	SRR3132079	SRR3132081	SRR3132083	SRR3132085	SRR3132087	SRR3132089	SRR3132091	SRR3132093	SRR3132095	SRR3132097	SRR3132099	SRR3132101	SRR3132103	SRR3132105	SRR3132107	SRR3132109	SRR3132111	SRR3132113	SRR3132115	SRR3132117	SRR3132119	SRR3132121	SRR3132123	SRR3132125	SRR3132127	SRR3132129	SRR3132131	SRR3132133	SRR3132135	SRR3132137	SRR3132139	SRR3132141	SRR3132143	SRR3132145	SRR3132147	SRR3132149	SRR3132151	SRR3132153	SRR3132155	SRR3132157	SRR3132159	SRR3132161	SRR3132163	SRR3132165	SRR3132167	SRR3132169	SRR3132171	SRR3132173	SRR3132175	SRR3132177	SRR3132179	SRR3132181	SRR3132183	SRR3132185	SRR3132187	SRR3132189	SRR3132191	SRR3132193	SRR3132195	SRR3132197	SRR3132199	SRR3132201	SRR3132203	SRR3132205	SRR3132207	SRR3132209	SRR3132211	SRR3132213	SRR3132215	SRR3132217	SRR3132219	SRR3132221	SRR3132223	SRR3132225	SRR3132227	SRR3132229	SRR3132231	SRR3132233	SRR3132235	SRR3132237	SRR3132239	SRR3132241	SRR3132243	SRR3132245	SRR3132247	SRR3132249	SRR3132251	SRR3132253	SRR3132255	SRR3132257	SRR3132259	SRR3132261	SRR3132263	SRR3132265	SRR3132267	SRR3132269	SRR3132271	SRR3132273	SRR3132275	SRR3132277	SRR3132279	SRR3132281	SRR3132283	SRR3132285	SRR3132287	SRR3132289	SRR3132291	SRR3132293	SRR3132295	SRR3132297	SRR3132299	SRR3132301	SRR3132303	SRR3132305	SRR3132307	SRR3132311	SRR3132313	SRR3132315	SRR3132317	SRR3132319	SRR3132321	SRR3132323	SRR3132325	SRR3132327	SRR3132329	SRR3132331	SRR3132333	SRR3132335	SRR3132337	SRR3132339	SRR3132341	SRR3132343	SRR3132345	SRR3132347	SRR3132349	SRR3132351	SRR3132353	SRR3132355	SRR3132357	SRR3132359	SRR3132361	SRR3132363	SRR3132365	SRR3132367	SRR3132369	SRR3132371	SRR3132373	SRR3132375	SRR3132377	SRR3132379	SRR3132381	SRR3132383	SRR3132385	SRR3132387	SRR3132389	SRR3132391	SRR3132393	SRR3132395	SRR3132397	SRR3132399	SRR3132401	SRR3132403	SRR3132405	SRR3132407	SRR3132409	SRR3132411	SRR3132413	SRR3132415	SRR3132417	SRR3132419	SRR3132421	SRR3132423	SRR3132425	SRR3132427	SRR3132429	SRR3132431	SRR3132433	SRR3132435	SRR3132437	SRR3132439	SRR3132441	SRR3132443	SRR3132445	SRR3132447	SRR3132449	SRR3132451	SRR3132453	SRR3132455	SRR3132457	SRR3132459	SRR3132461	SRR3132463	SRR3132465	SRR3132467	SRR3132469	SRR3132471	SRR3132473	SRR3132475	SRR3132477	SRR3132479	SRR3132481	SRR3132483	SRR3132485	SRR3132487	SRR3132489
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;;																																																																																																																																																																																																																																																																																																				0.259013																																																																																																								
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;																																																																																																																																																																												0.574043																																																																																																																																																																																																																																
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans												0.054804												0.044004																		0.047376												0.015225														0.014571	3.761683			0.037535																0.044998				0.031217		0.039893						0.017847				0.053799				0.023475				0.051620																																										0.014669					0.019098										0.339948			7.402096							0.175737					0.077049								0.040643											0.042921											0.080425												0.150003					0.034103		0.014995	0.045077			0.019458																		0.160987									0.040995																										0.043178		3.151176						0.051647																						0.164940																								0.342892																								0.027402						0.017093		0.050116	0.048074	0.073153						0.049133				0.021454			0.029901					
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida parapsilosis							0.010762																							0.077736																																	0.008403																																																																																																																																																																																																																	0.031644																																																														0.026897																				0.031324																																										
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;																																																																																																																																																																												0.497636																																																																																																																																																																																																																																
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa																																																																																																																																																	0.211665																																																																												0.043573																																																																																																																																																																															
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia obtusa																																																																																																																																																																																																																																																																																																																																																																																	0.085649																											
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia pachydermatis																																																																																																																																																																																																																																																																																																																1.085625																																																																																												
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta																																																																																																																																																	0.080568																																																																																																																																																																																																																																																											
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor;																																																																																																																																																																																																																																																																																															0.007835																																																																																		1.00266																											
