run_accession	read_count
ERR4097108	70637427
ERR4097109	55018465
ERR4097110	53325523
ERR4097111	63538788
ERR4097112	91413699
ERR4097113	67391879
ERR4097114	69163265
ERR4097115	52563971
ERR4097116	55734803
ERR4097117	77886810
ERR4097118	45817462
ERR4097119	50696667
ERR4097120	64779596
ERR4097121	101734475
ERR4097122	89830198
ERR4097123	83882079
ERR4097124	56968915
ERR4097125	85480789
ERR4097126	62948228
ERR4097127	61882782
ERR4097128	59984918
ERR4097129	65117742
ERR4097130	95842054
ERR4097131	80767352
ERR4097132	63737513
ERR4097133	66075479
ERR4097134	59758430
ERR4097135	57604158
ERR4097136	67890814
ERR4097137	60302209
ERR4097138	82770347
ERR4097139	67738637
ERR4097140	88098898
ERR4097141	63761508
ERR4097142	38876634
ERR4097143	105153670
ERR4097144	73892633
ERR4097145	61195725
ERR4097146	82770966
ERR4097147	82812608
ERR4097148	78144771
ERR4097149	68749470
ERR4097150	77254750
ERR4097151	52536165
ERR4097152	61898032
ERR4097153	68941280
ERR4097154	33832688
ERR4097155	72405582
ERR4097156	55193463
ERR4097157	59002274
ERR4097158	63333285
ERR4097159	59086480
ERR4097160	58549750
ERR4097161	52677663
ERR4097162	45291505
ERR4097163	75604549
ERR4097164	59098511
ERR4097165	59567692
ERR4097166	56438202
ERR4097167	87296153
ERR4097168	58054227
ERR4097169	71667044
ERR4097170	54896690
ERR4097171	54016094
ERR4097172	46660301
ERR4097173	48790785
ERR4097174	45044605
ERR4097175	63224762
ERR4097176	57053746
ERR4097177	57691792
ERR4097178	62540846
ERR4097179	81176846
ERR4097180	67424137
ERR4097181	67314723
ERR4097182	84003984
ERR4097183	77327103
ERR4097184	66411804
ERR4097185	74332727
ERR4097186	57733605
ERR4097187	76480551
ERR4097188	98699767
ERR4097189	70836307
ERR4097190	85821257
ERR4097191	65708663
ERR4097192	41431859
ERR4097193	70412283
ERR4097194	78378064
ERR4097195	87620397
ERR4097196	64433088
ERR4097197	66790493
ERR4097198	95198819
ERR4097199	65643691
ERR4097200	84083207
ERR4097201	46860026
ERR4097202	62594547
ERR4097203	71070294
ERR4097204	81411250
ERR4097205	71830233
ERR4097206	51802257
ERR4097207	77413234
ERR4097208	75670970
ERR4097209	70820015
ERR4097210	38056018
ERR4097211	53572887
ERR4097212	50356180
ERR4097213	80988942
ERR4097214	72862654
ERR4097215	85467105
ERR4097216	87798615
ERR4097217	129042964
ERR4097218	64351568
ERR4097219	78791277
ERR4097220	77790239
ERR4097221	68348556
ERR4097222	75085145
ERR4097223	64411118
ERR4097224	69579771
ERR4097225	69409074
ERR4097226	63739321
ERR4097227	47109376
ERR4097228	54464884
ERR4097229	93405841
ERR4097230	80906529
ERR4097231	73290941
ERR4097232	97086031
ERR4097233	53573794
ERR4097234	53515938
ERR4097235	73093566
ERR4097236	80398768
ERR4097237	76125050
ERR4097238	61757653
ERR4097239	74112852
ERR4097240	67132888
ERR4097241	78746813
ERR4097242	63345713
ERR4097243	71736875
ERR4097244	60150268
ERR4097245	51186327
ERR4097246	64785539
ERR4097247	67076342
ERR4097248	41383061
ERR4097249	112546971
ERR4097250	65786557
ERR4097251	67212114
ERR4097252	78985224
ERR4097253	101500299
ERR4097254	78738456
ERR4097255	79492616
ERR4097256	88561415
ERR4097257	3675941
ERR4097258	82182884
ERR4097259	76789270
ERR4097260	63499812
ERR4097261	70949532
ERR4097262	47798722
ERR4097263	62816191
ERR4097264	54548928
ERR4097265	83339751
ERR4097266	68231279
ERR4097267	69200027
ERR4097268	89976897
ERR4097269	77056831
ERR4097270	49419149
ERR4097271	62851823
ERR4097272	89632289
ERR4097273	70944787
ERR4097274	65645255
ERR4097275	101789912
ERR4097276	57188730
ERR4097277	42951834
ERR4097278	78382465
ERR4097279	45597972
ERR4097280	57889969
ERR4097281	98927884
ERR4097282	56290674
ERR4097283	73471158
ERR4097284	125685054
ERR4097285	69229522
ERR4097286	67430338
ERR4097287	85698623
ERR4097288	63196322
ERR4097289	98677287
ERR4097290	101387334
ERR4097291	46703572
ERR4097292	105828328
ERR4097293	74946375
ERR4097294	50510663
ERR4097295	63696936
ERR4097296	59268990
ERR4097297	64560124
ERR4097298	89012958
ERR4097299	85717982
ERR4097300	82423518
ERR4097301	62314388
ERR4097302	104494538
ERR4097303	37303585
ERR4097304	71281298
ERR4097305	83492927
ERR4097306	75654695
ERR4097307	67550967
ERR4097308	90100186
ERR4097309	74486426
ERR4097310	89655880
ERR4097311	53235697
ERR4097312	67215354
ERR4097313	70020676
ERR4097314	57607654
ERR4097315	61229905
ERR4097316	52364598
ERR4097317	63661531
ERR4097318	51827726
ERR4097319	67371675
ERR4097320	76773675
ERR4097321	51385011
ERR4097322	75938145
ERR4097323	68417125
ERR4097324	60214483
ERR4097325	87441361
ERR4097326	76072198
ERR4097327	67103424
ERR4097328	46056166
ERR4097329	83962797
ERR4097330	75775553
ERR4097331	95159174
ERR4097332	80324063
ERR4097333	79965233
ERR4097334	71792260
ERR4097335	67343226
ERR4097336	61802761
ERR4097337	70135828
ERR4097338	60448454
ERR4097339	72441072
ERR4097340	86215230
ERR4097341	77907323
